review_id,user_id,isbn,review_title,review_content,status
1,codeLover,9791162241264,삶의 지혜를 느낄 수 있는 작품입니다.,"구현 순서에 맞춰 프로젝트를 진행하며 배우는 실전 입문서

이 책은 스프링 부트 입문자의 눈높이에 맞춰 스프링 부트 환경 설정부터 커뮤니티 게시판 구현까지를 다룹니다. 스프링 부트의 기본 개념과 다양한 스프링 부트 스타터를 이용해 커뮤니티 게시판 구축 프로젝트를 구현합 이 책은 정말로 깊이 있는 내용을 담고 있습니다.",ACTIVE
2,fullstack21,9791161758558,새로운 관점을 제시하는 놀라운 책입니다.,"기존 일체형 애플리케이션을 마이크로서비스로 나누고 온프레미스나 클라우드로 배포하려는 자바, 스프링 개발자와 아키텍트를 위한 책이다.
스프링 부트, 스프링 클라우드와 도커, 쿠버네티스, 이스티오, EFK 스택, 프로메테우스, 그라파나 등의 오픈소스 도구를 조합해 마이크로 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
3,fantasyFan,9791140700448,감동과 여운이 가득한 책입니다.,"이론은 탄탄하게, 실습은 실무에 가깝게!
스프링 부트와 스프링 클라우드를 이용한 모범 사례를 직접 실행하며 
마이크로서비스의 개념을 확실하게 익히자!

마이크로서비스는 서비스 개발, 그 이상(클라우드, 인프라, 자동화, 테스팅, 회복성, 보안, 인증, 로깅, 모니터링, 이 책은 정말로 추천할만합니다.",ACTIVE
4,javaCoder,9791162242995,독서의 즐거움을 깨닫게 하는 이야기입니다.,"웹 애플리케이션을 효과적으로 구현하는 실무 비법 대방출

스프링 부트로 웹 개발을 할 때 마주치는 문제를 속 시원하게 해결하고 싶다면 이 책이 답이다. 스프링 부트에서 자주 발생하는 문제의 해결 방법부터 웹플럭스 사용법까지 실무에 꼭 필요한 내용만 담았다. 웹 개발 경 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
5,reader21,9791192987675,새로운 관점을 제시하는 놀라운 책입니다.,"클라우드 환경에 스프링 애플리케이션을 구축하는 효과적인 방법

클라우드 기술이 발달하면서 많은 애플리케이션이 클라우드에서 서비스되고 있다. 이 책에서는 가상의 온라인 서점 시스템을 개발하며 클라우드 환경에 애플리케이션을 어떻게 구축하는지 상세히 설명한다. 스프링으로 클 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
6,babyG,9791161752556,독서를 멈출 수 없게 만드는 작품입니다.,"어느새 자바 생태계의 주류 언어로 자리매김한 코틀린 언어를 바탕으로 마이크로서비스와 리액티브에 대해 알아본다. 기본 개념, 작동 원리와 장점을 살펴보는 것을 시작으로 스프링 부트 기반으로 마이크로서비스를 쉽게 만들어보고, 스프링 웹플럭스(WebFlux)를 사용해 넌블로 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
7,bookworm,9791141012304,다시 읽고 싶은 감동적인 책입니다.,"이 책은 자바 개발자가 스프링 프레임워크를 이용해서 시스템을 구축하기 위한 스프링 프레임워크 및 부트 프레임워크의 필수 내용을 원리와 함께 실전 코드까지 설명하고 있습니다. 뷰 페이지를 작성하기 위해 스프링 프레임워크 프로젝트에는 JSP를 사용했으며, 스프링 부트 프로 이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
8,springBooter,9791189184117,독자들에게 큰 교훈을 주는 책입니다.,"리액트와 스프링 부트를 이용해서 프런트 엔드와 백 엔드를 분리한다면?
이 책은 리액트의 문법이나 기능을 다루는 책이 아닙니다. 이 책에서 다루는 주제는 '리액트를 어떻게 활용하는가'입니다. 리액트는 많은 기능을 제공하지만, 그 자체로 프레임워크는 아니기 때문에 설계의  이 책은 정말로 매우 흥미로웠습니다.",ACTIVE
9,codeLover,9791141076870,새로운 관점을 제시하는 놀라운 책입니다.,"Spring framework와 Spring Boot를 이용한 자바 웹 애플리케이션을 개발하려는 개발자가 보는 책입니다.
이 책은 자바프로그래밍 및 Servlet/JSP 웹 애플리케이션에 대한 기초 지식이 있어야 볼 수 있습니다.
스프링 프레임워크와 스프링 부트는 학습 이 책은 정말로 추천할만합니다.",ACTIVE
10,designPro,9791186710456,다시 읽고 싶은 감동적인 책입니다.,"스프링의 개념 이해부터 클라우드 컴퓨팅까지, 한 번에 잡는 퍼펙트 강의

스프링 프레임워크에 대한 설명을 시작으로 스프링 부트의 등장 배경과 특징을 살펴봅니다. 그리고 게시판 애플리케이션을 완성하는 것을 목표로 REST API 개발 과정을 친절하게 설명합니다. OAut 이 책은 정말로 추천할만합니다.",ACTIVE
11,jsExpert,9791161756776,감동과 여운이 가득한 책입니다.,다수의 사용자를 지원하는 Todo 웹 애플리케이션을 구현하고 배포한다. 또한 현장에서 많이 사용하는 프론트엔드와 백엔드 서버가 분리된 아키텍처(Decoupled Architecture)를 구현한다. 또한 배포 시 단순히 로컬 환경이나 임시 HTTP 서버로 배포하는 데  이 책은 정말로 깊이 있는 내용을 담고 있습니다.,ACTIVE
12,springBooter,9791158394097,감동과 여운이 가득한 책입니다.,"스프링 부트와 리액트의 풍부하고 다양한 도구들을 활용해 최신 풀스택 애플리케이션을 개발하는 비법을 배워보자!

풀스택 개발을 시작하려면 무엇부터 시작할지 혼란스럽게 느껴질 수 있다. 스프링 부트와 리액트 같은 최고의 툴에 익숙한 개발자라도 고급 요소를 마스터하는 것은  이 책은 정말로 깊이 있는 내용을 담고 있습니다.",ACTIVE
13,nonFicReader,9791161758633,독서를 멈출 수 없게 만드는 작품입니다.,"스프링 부트 3에 대한 포괄적인 가이드로, 초보자부터 숙련된 개발자까지 모든 수준의 독자들이 활용할 수 있도록 구성돼 있다. 복잡한 인프라 설정을 피하고 효율적인 개발 방법에 초점을 맞춰 웹 애플리케이션 개발의 기초부터 고급 주제까지 다룬다. 주요 내용으로는 빠른 애플 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
14,typeScriptFan,9791161751108,감동과 여운이 가득한 책입니다.,"마이크로서비스 아키텍처 개념을 먼저 알아보고 일반적인 스프링 부트 웹 애플리케이션을 스프링 클라우드, 스프링 리액티브 기술을 활용해서 마이크로서비스로 만들어가는 과정을 풍부한 예제와 실행 화면을 통해 구체적으로 보여준다. 마이크로서비스 적용 시 신경 써야 할 로깅과 모 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
15,fantasyFan,9791188621279,독특한 시각과 접근이 돋보입니다.,"자바 기반의 웹 서비스를 가장 쉽고 빠르게 배운다!

시중에는 자바 웹 개발자를 위한 스프링과 JSP 관련 서적이 많이 나와 있긴 하지만, 입문자가 끝까지 따라 할 만한 책은 많지 않습니다. 이 책은 독자들이 자바 기반의 웹 서비스를 만들거나 공부할 때 가장 쉽게 따라 이 책은 정말로 읽을 가치가 충분합니다.",ACTIVE
